Rank,Release,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated,month
1,Red Rain,"$26,679,574",12768,27028224.0,2025-08-21,Galaxy Studio,False,8
2,The 4 Rascals,"$10,253,939",14077,13017642.0,2025-01-29,Galaxy Studio,False,1
3,Detective Kien: The Headless Horror,"$9,536,331",7728,9536331.0,2025-04-25,Galaxy Studio,False,4
4,Hijacked,"$9,359,042",10590,9540357.0,2025-09-18,Galaxy Studio,False,9
5,Face Off 8: Embrace of Light,"$8,887,206",8508,8887206.0,2025-04-27,CGV,False,4
6,Nha Gia Tien,"$8,495,168",12024,9415486.0,2025-02-21,CJ Entertainment,False,2
7,Money Kisses,"$7,971,262",5050,8291169.0,2025-01-29,CGV Mars Dagitim,False,1
8,Detective Conan: One-Eyed Flashback,"$6,606,193",13009,6606949.0,2025-07-19,CGV,False,7
9,Doraemon: Nobita's Art World Tales,"$6,466,733",5701,6466733.0,2025-05-18,CGV,False,5
10,Tunnel,"$6,129,922",11977,6641870.0,2025-04-02,Galaxy Studio,False,4
11,Leaving Mom,"$5,799,514",12217,6507796.0,2025-07-30,CJ Entertainment,False,7
12,The Corpse,"$5,252,785",9848,5810842.0,2025-03-07,CGV,False,3
13,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,"$4,823,241",11769,5311952.0,2025-08-14,Galaxy Studio,False,8
14,The Soul Lantern,"$4,153,546",4505,4153546.0,2025-02-07,CGV Mars Dagitim,False,2
15,The Guardian Demon,"$3,188,624",5930,3432695.0,2025-06-18,CGV,False,6
16,404 Run Run,"$2,711,027",6506,4149090.0,2025-12-24,Galaxy Studio,False,12
17,Cuc Vang Cua Ngoai,"$2,675,973",6478,2818252.0,2025-10-16,CJ Entertainment,False,10
18,How to Train Your Dragon,"$2,103,976",232,2201549.0,2025-06-12,Universal Pictures International (UPI),False,6
19,Betting with Ghost: The Gem Hunter,"$1,778,137",3491,3847798.0,2025-08-27,Galaxy Studio,False,8
20,The Real Sister,"$1,722,370",7840,4472985.0,2025-12-19,CJ Entertainment,False,12
21,Captain America: Brave New World,"$1,607,530",5564,1607530.0,2025-02-14,Galaxy Studio,False,2
22,The Conjuring: Last Rites,"$1,516,402",5456,1516402.0,2025-09-12,CGV,False,9
23,Jurassic World: Rebirth,"$1,438,194",234,1438194.0,2025-07-04,Universal Pictures International (UPI),False,7
24,Interstellar2025 Re-release,"$1,393,604",105,1393604.0,2025-02-28,CGV,False,2
25,The Red Envelope,"$1,353,284",5241,1492365.0,2025-04-10,Galaxy Studio,False,4
26,Hitman 2,"$1,336,134",4548,1336134.0,2025-03-07,CJ Entertainment,False,3
27,Lilo & Stitch,"$1,321,539",1562,1321882.0,2025-05-23,CGV,False,5
28,Dieu Uoc Cuoi Cung,"$1,156,421",3343,1261554.0,2025-07-02,CGV,False,7
29,Hitchhiker,"$1,156,037",7062,1306751.0,2025-03-25,Galaxy Studio,False,3
30,Yadang: The Snitch,"$1,116,442",2660,1185250.0,2025-05-14,CJ Entertainment,False,5
31,Holy Night: Demon Hunters,"$1,075,746",4498,1158224.0,2025-05-08,Lotte Entertainment,False,5
32,The Lake,"$1,038,017",6324,1038017.0,2025-06-06,CGV,False,6
33,The Fantastic Four: First Steps,"$969,314",3995,969314.0,2025-07-25,Galaxy Studio,False,7
34,A Minecraft Movie,"$911,469",2201,922678.0,2025-04-02,CGV,False,4
35,Superman,"$874,288",5024,939674.0,2025-07-10,CGV,False,7
36,Flow,"$752,853",2257,752853.0,2025-02-28,CGV,False,2
37,Hi-Five,"$741,820",3012,812362.0,2025-06-11,CGV,False,6
38,Thunderbolts*,"$739,460",1995,1100584.0,2025-04-30,Galaxy Studio,False,4
39,Friend Zone,"$723,635",1543,845252.0,2025-01-29,Galaxy Studio,False,1
40,Death Whisperer 3,"$708,630",1733,3144407.0,2025-10-08,CJ Entertainment,False,10
41,Mission: Impossible - The Final Reckoning,"$699,558",1954,1794297.0,2025-05-28,CGV,False,5
42,Attack on Titan the Movie: The Last Attack,"$679,095",649,746859.0,2025-02-05,CGV Mars Dagitim,False,2
43,Sugar Mill,"$631,856",1751,667134.0,2025-07-10,CJ Entertainment,False,7
44,My Daughter Is a Zombie,"$595,118",3120,646254.0,2025-08-07,CGV,False,8
45,Chi Nga Em Nang,"$587,144",295,606933.0,2025-10-03,Lotte Entertainment,False,10
46,Bride of the Covenant,"$584,511",3063,652762.0,2025-09-11,Lotte Entertainment,False,9
47,Sonic the Hedgehog 3,"$574,320",2089,776097.0,2025-12-27,CGV Mars Dagitim,False,12
48,Paddington in Peru,"$565,284",1290,685448.0,2025-01-29,CGV Mars Dagitim,False,1
49,28 Years Later,"$553,839",1134,599648.0,2025-06-18,Galaxy Studio,False,6
50,Nha ma xo,"$549,990",4326,647496.0,2025-10-22,Galaxy Studio,False,10
51,Crayon Shin-chan the Movie: Super Hot! The Spicy Kasukabe Dancers,"$544,157",1216,544157.0,2025-08-16,CGV,False,8
52,Until Dawn,"$534,175",2261,606941.0,2025-05-14,Galaxy Studio,False,5
